claim_id,client_id,region,claim_type,policy_type,declaration_date,expertise_date,closure_date,status,estimated_damage,paid_amount,expert_assigned,fraud_flag
CLM_39,CUST_1559,Hauts-de-France,Dégât des eaux,Auto,2023-02-27,2023-03-04,2023-04-03,Clos,1283.45,958.65,Expert_6,0
CLM_40,CUST_3837,Hauts-de-France,Incendie,Habitation,2023-03-30,2023-04-07,2023-05-26,Clos,7294.37,7195.6,Expert_15,0
CLM_41,CUST_3141,PACA,Dégât des eaux,Auto,2023-12-15,2023-12-18,2024-01-03,Clos,837.09,671.82,Expert_13,0
CLM_42,CUST_4325,Île-de-France,Dégât des eaux,Professionnelle,2023-08-26,2023-08-31,2023-09-16,Clos,2970.13,2759.28,Expert_7,0
CLM_43,CUST_1515,PACA,Catastrophe naturelle,Professionnelle,2023-08-10,2023-08-15,2023-09-11,Clos,1922.96,1884.56,Expert_10,0
CLM_44,CUST_2931,Île-de-France,Catastrophe naturelle,Auto,2023-01-16,2023-02-01,,Ouvert,3659.72,3513.92,Expert_15,0
CLM_45,CUST_3444,Île-de-France,Dégât des eaux,Auto,2023-06-27,2023-06-30,2023-08-06,Clos,305.01,301.46,Expert_12,0
CLM_46,CUST_4069,PACA,Dégât des eaux,Auto,2023-01-12,2023-01-26,2023-02-01,Clos,2719.73,2438.83,Expert_7,0
CLM_47,CUST_4491,Nouvelle-Aquitaine,Incendie,Auto,2023-04-25,2023-05-04,,Ouvert,1756.3,1596.51,Expert_6,0
CLM_48,CUST_3143,Occitanie,Vol,Professionnelle,2023-08-05,2023-08-09,2023-08-23,Clos,7361.81,6769.14,Expert_6,0
CLM_49,CUST_2296,Nouvelle-Aquitaine,Vol,Habitation,2023-06-01,2023-06-06,2023-06-22,Clos,343.5,317.83,Expert_8,0
CLM_50,CUST_3502,Occitanie,Bris de glace,Auto,2023-03-03,2023-03-19,2023-04-17,Clos,4066.77,2859.96,Expert_7,0
CLM_51,CUST_4170,Nouvelle-Aquitaine,Bris de glace,Auto,2023-10-11,2023-10-25,2023-11-29,Clos,1946.02,1696.99,Expert_12,0
CLM_52,CUST_2156,Hauts-de-France,Catastrophe naturelle,Auto,2023-01-25,2023-01-29,2023-03-27,Clos,3913.83,3320.2,Expert_1,0
CLM_53,CUST_4324,PACA,Dégât des eaux,Habitation,2023-06-12,2023-06-23,2023-07-08,Clos,3924.87,2915.78,Expert_6,0
CLM_54,CUST_3386,Île-de-France,Incendie,Habitation,2023-08-18,2023-08-25,2023-10-14,Clos,1751.29,1596.95,Expert_8,0
CLM_55,CUST_2155,PACA,Dégât des eaux,Habitation,2023-05-16,2023-06-01,,En recours,2915.84,2752.08,Expert_3,0
CLM_56,CUST_1172,Occitanie,Incendie,Habitation,2023-10-19,2023-10-25,2023-11-29,Clos,155.15,120.18,Expert_7,0
CLM_57,CUST_2958,Île-de-France,Catastrophe naturelle,Habitation,2023-05-21,2023-06-08,,Ouvert,1879.17,1733.15,Expert_8,0
CLM_58,CUST_3105,Hauts-de-France,Catastrophe naturelle,Habitation,2023-01-01,2023-01-04,2023-01-21,Clos,1593.68,1155.21,Expert_8,0
CLM_59,CUST_3811,PACA,Bris de glace,Habitation,2023-02-13,2023-02-26,,En recours,635.2,506.13,Expert_12,0
CLM_60,CUST_4637,Occitanie,Incendie,Auto,2023-08-17,2023-08-21,,En recours,1692.96,1295.19,Expert_4,0
CLM_61,CUST_4019,Île-de-France,Bris de glace,Habitation,2023-09-16,2023-10-02,,Ouvert,2944.65,2309.46,Expert_13,1
CLM_62,CUST_2946,Hauts-de-France,Vol,Auto,2023-06-05,2023-06-13,2023-07-15,Clos,813.46,634.32,Expert_3,0
CLM_63,CUST_4618,Île-de-France,Vol,Professionnelle,2023-05-25,2023-06-03,2023-07-10,Clos,7012.75,6177.08,Expert_13,0
CLM_64,CUST_2028,Occitanie,Dégât des eaux,Habitation,2023-09-10,2023-09-16,2023-10-08,Clos,7387.22,5354.44,Expert_2,0
CLM_65,CUST_1062,Nouvelle-Aquitaine,Bris de glace,Habitation,2023-04-29,2023-04-30,2023-06-27,Clos,423.32,421.7,Expert_1,0
CLM_66,CUST_4636,Nouvelle-Aquitaine,Catastrophe naturelle,Habitation,2023-08-05,2023-08-22,2023-09-08,Clos,2947.84,2726.67,Expert_5,0
CLM_67,CUST_1684,Occitanie,Bris de glace,Professionnelle,2023-06-14,2023-06-24,2023-07-08,Clos,1674.43,1293.2,Expert_8,0
CLM_68,CUST_3165,PACA,Incendie,Habitation,2023-07-24,2023-07-28,2023-08-02,Clos,5167.14,3793.03,Expert_4,0
CLM_69,CUST_3448,Île-de-France,Incendie,Habitation,2023-09-16,2023-10-04,,Ouvert,6830.35,6764.73,Expert_2,0
CLM_70,CUST_3853,Occitanie,Catastrophe naturelle,Professionnelle,2023-04-22,2023-05-07,2023-06-03,Clos,3969.59,3032.33,Expert_5,0
CLM_71,CUST_1165,Nouvelle-Aquitaine,Incendie,Habitation,2023-11-02,2023-11-04,2023-11-26,Clos,6197.24,5151.41,Expert_5,0
CLM_72,CUST_1068,Hauts-de-France,Vol,Habitation,2023-12-01,2023-12-11,2024-02-04,Clos,4883.97,4652.6,Expert_9,0
CLM_73,CUST_3158,Occitanie,Dégât des eaux,Professionnelle,2023-02-03,2023-02-09,2023-04-07,Clos,3970.53,3028.48,Expert_12,0
CLM_74,CUST_1666,Hauts-de-France,Dégât des eaux,Habitation,2023-09-06,2023-09-22,,Ouvert,7100.35,6453.87,Expert_4,0
CLM_75,CUST_2428,Île-de-France,Catastrophe naturelle,Habitation,2023-04-03,2023-04-21,2023-06-15,Clos,1233.05,925.62,Expert_6,0
CLM_76,CUST_3296,Île-de-France,Incendie,Habitation,2023-11-22,2023-11-23,2023-12-02,Clos,624.28,531.28,Expert_7,0
CLM_77,CUST_3055,PACA,Catastrophe naturelle,Professionnelle,2023-02-16,2023-03-03,,Ouvert,2147.14,1746.02,Expert_3,0
CLM_78,CUST_1364,Île-de-France,Vol,Habitation,2023-04-23,2023-04-26,2023-06-21,Clos,1582.9,1401.62,Expert_8,0
CLM_79,CUST_4345,Occitanie,Dégât des eaux,Habitation,2023-06-03,2023-06-17,2023-08-11,Clos,796.24,771.21,Expert_7,0
CLM_80,CUST_4545,Hauts-de-France,Vol,Auto,2023-10-21,2023-10-24,2023-12-18,Clos,1236.01,872.65,Expert_2,0
CLM_81,CUST_3156,Hauts-de-France,Vol,Auto,2023-05-06,2023-05-18,,Ouvert,1125.61,988.37,Expert_13,0
CLM_82,CUST_2541,PACA,Vol,Auto,2023-05-26,2023-06-10,2023-07-20,Clos,10492.59,8703.58,Expert_15,0
CLM_83,CUST_2605,Île-de-France,Bris de glace,Professionnelle,2023-06-29,2023-07-01,2023-08-19,Clos,5024.21,4924.27,Expert_15,0
CLM_84,CUST_2063,Île-de-France,Bris de glace,Professionnelle,2023-04-22,2023-04-26,2023-05-30,Clos,1519.35,1472.3,Expert_11,0
CLM_85,CUST_1645,Hauts-de-France,Vol,Auto,2023-08-17,2023-08-21,,Ouvert,1172.37,960.59,Expert_15,1
CLM_86,CUST_4371,Île-de-France,Bris de glace,Habitation,2023-04-28,2023-05-15,2023-06-18,Clos,3600.89,3122.08,Expert_8,0
CLM_87,CUST_1558,PACA,Catastrophe naturelle,Professionnelle,2023-05-13,2023-05-19,2023-06-18,Clos,1044.58,864.53,Expert_4,0
CLM_88,CUST_1009,Nouvelle-Aquitaine,Vol,Habitation,2023-01-01,2023-01-15,2023-02-26,Clos,879.27,755.98,Expert_14,0
CLM_89,CUST_3376,PACA,Vol,Habitation,2023-09-18,2023-09-28,2023-11-15,Clos,3055.15,2766.05,Expert_4,0
CLM_90,CUST_2969,PACA,Bris de glace,Professionnelle,2023-09-30,2023-10-09,,Ouvert,10571.13,7738.17,Expert_2,0
CLM_91,CUST_4643,Hauts-de-France,Bris de glace,Habitation,2023-11-30,2023-12-11,,Ouvert,1502.71,1222.86,Expert_11,0
CLM_92,CUST_4481,PACA,Catastrophe naturelle,Auto,2023-11-16,2023-11-24,2023-12-09,Clos,1516.41,1136.21,Expert_8,0
CLM_93,CUST_4597,Nouvelle-Aquitaine,Dégât des eaux,Auto,2023-03-03,2023-03-07,2023-04-05,Clos,3821.12,3124.66,Expert_2,0
CLM_94,CUST_1820,Île-de-France,Dégât des eaux,Professionnelle,2023-10-15,2023-11-03,2023-12-15,Clos,159.21,128.42,Expert_11,0
CLM_95,CUST_3601,Nouvelle-Aquitaine,Vol,Habitation,2023-04-14,2023-04-22,,Ouvert,6715.32,5570.08,Expert_10,0
CLM_96,CUST_4482,Nouvelle-Aquitaine,Bris de glace,Habitation,2023-01-15,2023-01-30,,Ouvert,7471.84,7466.67,Expert_15,0
CLM_97,CUST_2932,Nouvelle-Aquitaine,Bris de glace,Professionnelle,2023-10-16,2023-10-20,2023-11-15,Clos,2437.91,2067.83,Expert_13,0
CLM_98,CUST_4756,Île-de-France,Vol,Habitation,2023-06-08,2023-06-23,2023-08-02,Clos,9913.41,8544.95,Expert_7,0
CLM_99,CUST_4325,PACA,Bris de glace,Professionnelle,2023-05-10,2023-05-29,,Ouvert,1092.84,999.78,Expert_14,0
CLM_100,CUST_4281,PACA,Incendie,Professionnelle,2023-11-26,2023-12-04,2024-01-15,Clos,1791.86,1584.87,Expert_2,0
CLM_101,CUST_2863,Hauts-de-France,Bris de glace,Auto,2023-04-21,2023-04-29,,En recours,610.48,530.83,Expert_12,0
CLM_102,CUST_2430,PACA,Vol,Auto,2023-05-07,2023-05-17,,En recours,8202.4,7553.86,Expert_2,0
CLM_103,CUST_2854,PACA,Bris de glace,Professionnelle,2023-09-14,2023-09-28,,En recours,6115.28,5819.72,Expert_9,0
CLM_104,CUST_4874,PACA,Incendie,Auto,2023-02-24,2023-03-15,2023-04-28,Clos,516.5,393.4,Expert_4,0
CLM_105,CUST_1938,Occitanie,Bris de glace,Auto,2023-03-04,2023-03-15,2023-04-26,Clos,6364.91,5117.94,Expert_15,0
CLM_106,CUST_1661,Hauts-de-France,Incendie,Habitation,2023-12-30,2024-01-18,2024-03-16,Clos,2487.14,2423.6,Expert_5,0
CLM_107,CUST_1341,Hauts-de-France,Vol,Professionnelle,2023-06-03,2023-06-21,2023-07-16,Clos,716.78,711.52,Expert_15,0
CLM_108,CUST_3717,Occitanie,Bris de glace,Professionnelle,2023-03-04,2023-03-12,2023-05-04,Clos,957.6,792.93,Expert_5,0
CLM_109,CUST_2394,Hauts-de-France,Catastrophe naturelle,Professionnelle,2023-10-12,2023-10-29,2023-12-17,Clos,899.88,855.76,Expert_6,0
CLM_110,CUST_1054,PACA,Incendie,Habitation,2023-06-24,2023-07-12,2023-07-18,Clos,550.18,511.45,Expert_10,0
CLM_111,CUST_1054,Occitanie,Incendie,Auto,2023-12-25,2023-12-28,,Ouvert,12764.05,12371.29,Expert_8,0
CLM_112,CUST_4125,Île-de-France,Catastrophe naturelle,Professionnelle,2023-10-15,2023-11-02,2023-11-13,Clos,2331.17,1793.42,Expert_8,0
CLM_113,CUST_3143,Hauts-de-France,Catastrophe naturelle,Auto,2023-09-06,2023-09-21,2023-11-01,Clos,2558.51,2291.98,Expert_3,0
CLM_114,CUST_1943,Île-de-France,Incendie,Professionnelle,2023-03-29,2023-04-12,2023-05-18,Clos,2982.49,2685.51,Expert_4,0
CLM_115,CUST_2308,Hauts-de-France,Incendie,Habitation,2023-01-07,2023-01-17,,Ouvert,3022.1,2884.41,Expert_3,0
CLM_116,CUST_2555,Nouvelle-Aquitaine,Bris de glace,Habitation,2023-07-07,2023-07-25,2023-07-31,Clos,2966.42,2810.78,Expert_5,0
CLM_117,CUST_4577,Île-de-France,Incendie,Habitation,2023-09-18,2023-09-23,2023-11-04,Clos,4246.2,3434.45,Expert_15,0
CLM_118,CUST_4280,Hauts-de-France,Incendie,Professionnelle,2023-12-08,2023-12-20,2024-01-17,Clos,2836.31,2386.24,Expert_4,0
CLM_119,CUST_3541,Hauts-de-France,Bris de glace,Habitation,2023-01-14,2023-01-23,2023-03-08,Clos,1046.29,858.75,Expert_3,0
CLM_120,CUST_4945,Île-de-France,Vol,Habitation,2023-01-04,2023-01-17,2023-02-24,Clos,485.87,435.06,Expert_1,0
CLM_121,CUST_2708,PACA,Incendie,Habitation,2023-12-08,2023-12-14,2024-01-14,Clos,3728.19,3281.38,Expert_10,0
CLM_122,CUST_2319,Nouvelle-Aquitaine,Dégât des eaux,Professionnelle,2023-07-09,2023-07-23,2023-07-29,Clos,3642.4,3208.75,Expert_2,0
CLM_123,CUST_3711,Occitanie,Incendie,Auto,2023-01-11,2023-01-15,2023-03-09,Clos,1341.51,1184.71,Expert_6,0
CLM_124,CUST_3026,Nouvelle-Aquitaine,Dégât des eaux,Professionnelle,2023-09-03,2023-09-08,,En recours,3122.08,2973.65,Expert_4,0
CLM_125,CUST_2639,Nouvelle-Aquitaine,Dégât des eaux,Habitation,2023-07-20,2023-07-22,,Ouvert,429.74,346.14,Expert_2,0
CLM_126,CUST_4115,Hauts-de-France,Incendie,Professionnelle,2023-02-11,2023-02-18,2023-03-29,Clos,3597.98,2812.34,Expert_11,0
CLM_127,CUST_1338,Hauts-de-France,Vol,Habitation,2023-11-01,2023-11-18,,En recours,3679.7,3151.26,Expert_4,0
CLM_128,CUST_1488,PACA,Vol,Professionnelle,2023-09-21,2023-10-08,2023-11-04,Clos,4498.36,4367.95,Expert_8,0
CLM_129,CUST_1249,PACA,Bris de glace,Professionnelle,2023-12-31,2024-01-15,2024-02-20,Clos,6194.95,6056.03,Expert_4,0
CLM_130,CUST_3419,Île-de-France,Dégât des eaux,Professionnelle,2023-09-27,2023-10-12,,Ouvert,1225.44,1012.86,Expert_15,0
CLM_131,CUST_3852,PACA,Vol,Auto,2023-04-13,2023-04-30,2023-05-18,Clos,3891.91,2992.89,Expert_2,0
CLM_132,CUST_3769,PACA,Bris de glace,Auto,2023-06-20,2023-06-28,2023-07-28,Clos,2027.83,1747.68,Expert_12,0
CLM_133,CUST_3461,PACA,Incendie,Professionnelle,2023-06-10,2023-06-26,,Ouvert,2770.61,2133.06,Expert_15,0
CLM_134,CUST_1317,Île-de-France,Vol,Professionnelle,2023-09-08,2023-09-21,2023-10-08,Clos,3957.81,2781.73,Expert_4,0
CLM_135,CUST_4430,Hauts-de-France,Vol,Habitation,2023-09-02,2023-09-14,2023-10-04,Clos,2181.65,2171.23,Expert_2,0
CLM_136,CUST_4736,PACA,Catastrophe naturelle,Professionnelle,2023-12-06,2023-12-11,2023-12-16,Clos,1771.4,1392.62,Expert_9,0
CLM_137,CUST_3041,Nouvelle-Aquitaine,Incendie,Habitation,2023-07-12,2023-07-26,2023-08-14,Clos,1993.06,1624.94,Expert_2,0
CLM_138,CUST_4782,Hauts-de-France,Dégât des eaux,Habitation,2023-10-20,2023-10-25,,En recours,3069.03,2701.49,Expert_13,0
CLM_139,CUST_4401,Île-de-France,Vol,Habitation,2023-02-21,2023-02-25,2023-03-09,Clos,2598.69,2325.55,Expert_14,0
CLM_140,CUST_2776,Nouvelle-Aquitaine,Catastrophe naturelle,Auto,2023-04-17,2023-04-19,2023-05-19,Clos,3521.57,2693.64,Expert_15,0
CLM_141,CUST_1780,Île-de-France,Catastrophe naturelle,Habitation,2023-03-02,2023-03-12,,Ouvert,3618.88,3288.86,Expert_3,0
CLM_142,CUST_4720,Hauts-de-France,Catastrophe naturelle,Professionnelle,2023-04-30,2023-05-15,2023-06-13,Clos,6853.59,6601.64,Expert_1,0
CLM_143,CUST_4297,Nouvelle-Aquitaine,Vol,Professionnelle,2023-07-14,2023-07-16,,Ouvert,7839.54,6261.56,Expert_7,0
CLM_144,CUST_1972,Île-de-France,Catastrophe naturelle,Auto,2023-05-04,2023-05-19,2023-06-30,Clos,4632.61,3355.46,Expert_13,0
CLM_145,CUST_4111,Nouvelle-Aquitaine,Vol,Auto,2023-03-22,2023-04-09,2023-05-23,Clos,1073.93,918.02,Expert_9,0
CLM_146,CUST_3863,Île-de-France,Bris de glace,Auto,2023-12-20,2023-12-28,2024-01-28,Clos,3379.59,3245.92,Expert_13,0
CLM_147,CUST_1699,Île-de-France,Vol,Auto,2023-06-18,2023-07-01,2023-08-17,Clos,3950.11,3867.26,Expert_8,0
CLM_148,CUST_2574,Nouvelle-Aquitaine,Incendie,Professionnelle,2023-01-07,2023-01-12,2023-02-28,Clos,2420.26,1697.92,Expert_8,0
CLM_149,CUST_4117,Hauts-de-France,Vol,Auto,2023-03-23,2023-03-27,2023-04-02,Clos,3738.8,3186.35,Expert_4,0
CLM_150,CUST_3461,Île-de-France,Incendie,Habitation,2023-06-04,2023-06-21,2023-08-05,Clos,683.04,588.78,Expert_5,0
CLM_151,CUST_1277,Hauts-de-France,Vol,Habitation,2023-03-15,2023-03-24,,Ouvert,4241.44,3468.0,Expert_9,0
CLM_152,CUST_4341,Île-de-France,Incendie,Auto,2023-07-15,2023-07-19,,Ouvert,4257.03,3053.89,Expert_7,0
CLM_153,CUST_1028,Nouvelle-Aquitaine,Incendie,Professionnelle,2023-07-11,2023-07-26,2023-08-28,Clos,4909.04,4390.02,Expert_11,0
CLM_154,CUST_3000,Occitanie,Catastrophe naturelle,Auto,2023-02-02,2023-02-08,,En recours,6922.17,5771.5,Expert_15,0
CLM_155,CUST_4201,Hauts-de-France,Vol,Habitation,2023-04-09,2023-04-22,2023-06-06,Clos,2374.82,2228.64,Expert_14,0
CLM_156,CUST_1868,Hauts-de-France,Catastrophe naturelle,Auto,2023-06-24,2023-07-08,,En recours,749.98,558.97,Expert_11,0
CLM_157,CUST_4598,PACA,Incendie,Habitation,2023-03-25,2023-03-31,,Ouvert,4598.68,4576.57,Expert_10,0
CLM_158,CUST_2680,PACA,Catastrophe naturelle,Auto,2023-06-11,2023-06-14,2023-08-06,Clos,775.22,652.71,Expert_15,1
CLM_159,CUST_2963,Nouvelle-Aquitaine,Bris de glace,Auto,2023-04-03,2023-04-11,,Ouvert,6467.57,5556.33,Expert_6,0
CLM_160,CUST_2701,Hauts-de-France,Bris de glace,Habitation,2023-06-30,2023-07-03,2023-07-27,Clos,2330.22,1718.67,Expert_4,0
CLM_161,CUST_3013,PACA,Bris de glace,Professionnelle,2023-11-15,2023-11-17,2023-12-15,Clos,6454.27,6423.97,Expert_9,0
CLM_162,CUST_2576,Occitanie,Catastrophe naturelle,Professionnelle,2023-11-16,2023-12-04,,Ouvert,5668.65,5511.89,Expert_1,0
CLM_163,CUST_1935,Occitanie,Dégât des eaux,Habitation,2023-03-17,2023-03-31,2023-05-06,Clos,4229.97,3573.09,Expert_2,0
CLM_164,CUST_4237,Nouvelle-Aquitaine,Incendie,Professionnelle,2023-08-30,2023-08-31,2023-09-06,Clos,5050.8,4784.9,Expert_6,0
CLM_165,CUST_1316,Île-de-France,Dégât des eaux,Professionnelle,2023-12-25,2024-01-08,,En recours,2681.58,1910.24,Expert_6,0
CLM_166,CUST_1250,Île-de-France,Vol,Professionnelle,2023-05-03,2023-05-09,2023-05-22,Clos,7906.53,7228.36,Expert_9,0
CLM_167,CUST_4198,Nouvelle-Aquitaine,Catastrophe naturelle,Professionnelle,2023-01-07,2023-01-18,2023-02-11,Clos,3259.15,2865.58,Expert_1,0
CLM_168,CUST_2927,Île-de-France,Catastrophe naturelle,Auto,2023-10-24,2023-11-03,2023-11-21,Clos,1438.81,1101.79,Expert_12,1
CLM_169,CUST_3920,Nouvelle-Aquitaine,Vol,Habitation,2023-08-09,2023-08-28,,En recours,1675.16,1534.04,Expert_5,0
CLM_170,CUST_3909,Occitanie,Catastrophe naturelle,Professionnelle,2023-02-28,2023-03-03,2023-04-04,Clos,3886.21,2756.09,Expert_1,0
CLM_171,CUST_3994,Nouvelle-Aquitaine,Vol,Professionnelle,2023-08-01,2023-08-06,2023-08-14,Clos,996.38,926.95,Expert_12,0
CLM_172,CUST_1754,PACA,Dégât des eaux,Professionnelle,2023-04-06,2023-04-15,2023-05-25,Clos,2342.97,2060.21,Expert_1,0
CLM_173,CUST_4591,Hauts-de-France,Bris de glace,Auto,2023-07-05,2023-07-17,2023-07-24,Clos,1844.76,1640.85,Expert_7,0
CLM_174,CUST_3365,Occitanie,Vol,Habitation,2023-04-10,2023-04-26,2023-05-30,Clos,1578.58,1190.72,Expert_1,0
CLM_175,CUST_3938,Occitanie,Dégât des eaux,Professionnelle,2023-11-12,2023-11-27,2023-12-15,Clos,1411.91,1140.5,Expert_2,0
CLM_176,CUST_4466,Hauts-de-France,Incendie,Habitation,2023-12-11,2023-12-13,2024-01-21,Clos,737.57,545.26,Expert_7,1
CLM_177,CUST_2280,Île-de-France,Vol,Professionnelle,2023-01-10,2023-01-13,,Ouvert,5489.0,4698.22,Expert_12,0
CLM_178,CUST_2655,Nouvelle-Aquitaine,Bris de glace,Auto,2023-05-13,2023-05-21,,Ouvert,736.01,593.98,Expert_6,0
CLM_179,CUST_1968,Occitanie,Vol,Auto,2023-02-13,2023-02-28,,En recours,565.92,487.81,Expert_11,0
CLM_180,CUST_1275,Nouvelle-Aquitaine,Vol,Habitation,2023-10-20,2023-10-21,2023-12-19,Clos,1476.04,1078.97,Expert_3,0
CLM_181,CUST_4110,Occitanie,Bris de glace,Habitation,2023-06-30,2023-07-18,,En recours,1598.0,1126.93,Expert_4,0
CLM_182,CUST_3793,Île-de-France,Vol,Auto,2023-08-11,2023-08-26,,Ouvert,9116.72,6463.68,Expert_10,0
CLM_183,CUST_1085,PACA,Bris de glace,Auto,2023-01-08,2023-01-26,,Ouvert,2239.31,2019.37,Expert_9,0
CLM_184,CUST_2863,Île-de-France,Bris de glace,Auto,2023-06-24,2023-06-26,2023-07-01,Clos,2440.66,2344.67,Expert_6,0
CLM_185,CUST_2092,PACA,Catastrophe naturelle,Professionnelle,2023-12-11,2023-12-25,2024-01-02,Clos,8732.43,6677.71,Expert_13,0
CLM_186,CUST_4230,PACA,Incendie,Habitation,2023-12-27,2023-12-29,2024-02-21,Clos,496.42,495.43,Expert_2,0
